Area,Name,Rating,Total Ratings,Address,Latitude,Longitude
Colaba,Koyla - Ethnic Cuisine,3.9,4866,"Kamal Mansion, 3/23, N.A. Azmi Road, next to Radio Club, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9182944,72.8308737
Colaba,Cafe Excelsior,4.1,1439,"Kitab Mahal, 23, AK Nayak Marg, opp. Excelsior Cinema, Azad Maidan, Fort, Mumbai, Maharashtra 400001, India",18.9375723,72.8336571
Colaba,Mini Room Cafe,4.5,139,"East West Court, Colaba Causeway, Apollo Bandar, Colaba, east, Mumbai, Maharashtra 400039, India",18.9200035,72.8301917
Colaba,Bake Live Studio - Colaba,4.3,66,"Shop no- 3 & 4, Sukh Nivas, SBS Road, 3rd Pasta Ln, Mumbai, Maharashtra 400005, India",18.9176936,72.8277086
Colaba,Cloud 9 Cafe,3.9,157,"Hotel Godwin, 41, Garden Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.919003,72.830482
Colaba,Chikita Cafe,3.9,689,"Oriental Mansion Building, Nathalal Parikh Marg, opposite Regal Cinema, Dr Ambedkar Statue Chowk Area, Colaba, Mumbai, Maharashtra 400001, India",18.9249037,72.8318386
Colaba,Bademiya,3.7,24277,"Bademiya, Tulloch Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039, India",18.9232359,72.83252259999999
Colaba,Bagdadi Restaurant,4.1,9027,"Inter Continental Hotel, Tulloch Rd, behind The Taj Mahal Palace Hotel, Apollo Bandar, Colaba, Mumbai, Maharashtra 400039, India",18.9228806,72.83239
Colaba,The Nutcracker,4.4,3004,"Dr, Forbes St, Kala Ghoda, Fort, Mumbai, Maharashtra 400023, India",18.9283715,72.8337416
Colaba,Effingut - Colaba,4.3,1197,"Dhanraj Mahal, next to The Bentley Showroom, Colaba, Mumbai, Maharashtra 400005, India",18.9242381,72.8333141
Colaba,Colaba's Paradise (Authentic Parsi Cuisine),4.3,58,"Shop No.5, Ground Floor, 71 - Seaview Terrace, opp. Charagh DIn, Colaba, Mumbai, Maharashtra 400005, India",18.9150611,72.82428349999999
Colaba,Bayroute,4.4,2503,"Minoo Manor Building, 7, Captain Prakash Pethe Marg, Badhwar Park, Apollo Bandar, Cuffe Parade, Mumbai, Maharashtra 400005, India",18.9173664,72.8245872
Colaba,Subko Mini at Abode Bombay,4.4,110,"First Floor, Lansdowne House, MB Marg, near Regal Cinema, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9237846,72.8326089
Colaba,Ling's Pavilion,4.4,1569,"building number 19, 21, MB Marg, regal cinema Apollo Bandar, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9236959,72.83243159999999
Colaba,Nandini Cafe Moo- Mumbai Flagship Store,4.1,139,"3, Pheroze Building, Chhatrapati Shivaji Maharaj Marg, opp. Dhanraj Mahal, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9238768,72.8333389
Colaba,Rustico,4.0,2950,"Ground Floor 1, 48 Bank, Khattau Building, opposite Shahid Bhagat Singh Road, Kala Ghoda, Colaba, Mumbai, Maharashtra 400001, India",18.9296112,72.8345677
Colaba,Bombay Brasserie Colaba,4.5,965,"Dhanraj Mahal, Chhatrapati Shivaji Maharaj Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9242223,72.8335415
Colaba,"Verandah, Mumbai",4.6,466,"Verandah lounge ,Lobby Level, Trident Nariman Point, Near Air India, Building,, Mumbai, Maharashtra 400005, India",18.9276746,72.820946
Colaba,Chotu Chai Wala,5.0,16,"WRGH+7VC, Dr Ambedkar Statue Chowk Area, Colaba, Mumbai, Maharashtra 400001, India",18.9256998,72.8296372
Colaba,All Stir Fry,4.4,1239,"Ground Floor, 5, Battery St, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",18.9241391,72.8329571
Colaba,Olive Greens JIMMY BOY,4.5,197,"AOMI, Pilot Bandar Rd, opposite Afghan Church, Navy Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9058072,72.81685159999999
Colaba,La Patisserie,3.6,96,"The Taj Mahal Palace Hotel, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9219082,72.8332533
Colaba,Suzette,4.3,606,"A1, Atlanta Building, Ground Floor, Nariman Point, Mumbai, Maharashtra 400021, India",18.9249298,72.82154059999999
Colaba,Starbucks,4.5,937,"Block No 1, Ram Mahal, Building No 8, Ground Floor, Dinshaw Vacha Rd, near KC College, Churchgate, Mumbai, Maharashtra 400020, India",18.930039,72.82606009999999
Colaba,The Courtyard,4.4,1130,"400005, Nofra, Navy Nagar, Colaba, Mumbai, Maharashtra 400005, India",18.9023391,72.8080085
Churchgate,Mockingbird Cafe Bar,4.4,7038,"80, Veer Nariman Rd, Churchgate, Mumbai, Maharashtra 400020, India",18.9335015,72.82627500000001
Churchgate,Bake House Cafe,4.4,3447,"WRHJ+6XF, Chamber of Commerce Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001, India",18.928067,72.832416
Churchgate,Starbucks,4.5,937,"Block No 1, Ram Mahal, Building No 8, Ground Floor, Dinshaw Vacha Rd, near KC College, Churchgate, Mumbai, Maharashtra 400020, India",18.930039,72.82606009999999
